Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Arable land (hectares),AG.LND.ARBL.HA,Tonga,TON,16000,15000,18000,18000,19000,20000,20000,20000,20000,20000,20000,..
Arable land (hectares),AG.LND.ARBL.HA,Trinidad and Tobago,TTO,36000,35000,25000,25000,25000,25000,25000,25000,25000,25000,25000,..
Arable land (hectares),AG.LND.ARBL.HA,Tunisia,TUN,2909000,2864000,2848000,2853000,2588000,2570000,2564000,2607000,2569500,2595000,2595000,..
Arable land (hectares),AG.LND.ARBL.HA,Turkiye,TUR,24647000,23826000,20577000,20574000,20699000,20650000,20382000,19998000,19723000,19580000,19586000,..
Arable land (hectares),AG.LND.ARBL.HA,Turkmenistan,TKM,..,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,1940000,..
Arable land (hectares),AG.LND.ARBL.HA,Turks and Caicos Islands,TCA,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,..
Arable land (hectares),AG.LND.ARBL.HA,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Uganda,UGA,5000000,5300000,6900000,6900000,6900000,6900000,6900000,6900000,6900000,6900000,6900000,..
Arable land (hectares),AG.LND.ARBL.HA,Ukraine,UKR,..,32564000,32518000,32777000,32770000,32775000,32776000,32773000,32889000,32924000,32924000,..
Arable land (hectares),AG.LND.ARBL.HA,United Arab Emirates,ARE,35000,60000,37100,37500,44000,44100,44500,44500,42300,49900,49000,..
Arable land (hectares),AG.LND.ARBL.HA,United Kingdom,GBR,6620000,5876000,6212000,6265400,6233500,6011000,6026010.5,6082879.4,6037787.4,6085598.4,5978502.2,..
Arable land (hectares),AG.LND.ARBL.HA,United States,USA,185676000,175368000,155007500,155553400,156099300,156645100,157191000,157736800,157736800,157736800,157736800,..
Arable land (hectares),AG.LND.ARBL.HA,Uruguay,URY,1241000,1373000,2160000,2307700,2436100,2428600,2226300,2183900,2151800,2088300,2024400,..
Arable land (hectares),AG.LND.ARBL.HA,Uzbekistan,UZB,..,4480000,4094000,4055000,4044000,4041000,4035300,4026400,4019800,4033500,4023000,..
Arable land (hectares),AG.LND.ARBL.HA,Vanuatu,VUT,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,..
Arable land (hectares),AG.LND.ARBL.HA,"Venezuela, RB",VEN,2832000,2595000,2600000,2600000,2600000,2600000,2600000,2600000,2600000,2600000,2600000,..
Arable land (hectares),AG.LND.ARBL.HA,Vietnam,VNM,5339000,6200000,6401300,6422800,6409500,7002800,6998000,6988300,6952100,6784000,6787000,..
Arable land (hectares),AG.LND.ARBL.HA,Virgin Islands (U.S.),VIR,4000,2000,1000,1000,1000,1000,1000,1000,900,900,900,..
Arable land (hectares),AG.LND.ARBL.HA,West Bank and Gaza,PSE,109000,102000,47950,61800,70800,57620,58800,72800,69800,69800,69800,..
Arable land (hectares),AG.LND.ARBL.HA,"Yemen, Rep.",YEM,1523000,1545000,1204000,1201000,1153600,1137600,1095800,1163000,1167000,1158000,1158000,..
Arable land (hectares),AG.LND.ARBL.HA,Zambia,ZMB,2891000,2816000,3800000,3700000,3800000,3800000,3800000,3800000,3800000,3800000,3800000,..
Arable land (hectares),AG.LND.ARBL.HA,Zimbabwe,ZWE,2910000,3600000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,..
Arable land (hectares),AG.LND.ARBL.HA,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..
